Matrix Size	Grid Size	No of iterations	Residual	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
18		36	0.097768	0.00054				
32		75	0.098955	0.003265				
50		128	0.0991	0.013907				
62		164	0.099922	0.027765				
82		226	0.099985	0.060505				
128		373	0.099869	0.256028				
162		484	0.099854	0.583936				
192		582	0.099991	1.091864				
222		682	0.099876	1.83734				
258		802	0.099884	3.119435				
296		929	0.099922	5.080902				
274		855	0.099953	3.867054				
322		1016	0.099945	6.853703				
352		1117	0.099998	9.410173				
380		1212	0.09996	12.309459				
402		1286	0.09991	14.921326				
462		1491	0.099945	23.866352				
562		1832	0.099991	45.198723				
592		1935	0.09996	53.382				
622		2038	0.09996	62.403416				
642		2107	0.09996	69.016167				
658		2162	0.099945	74.532341				
722		2383	0.099945	99.571121				
752		2486	0.099945	112.913612				
782		2589	0.099976	127.318863				
800		2651	0.099976	136.534439				
802		2658	0.099976	137.610748				
850		2824	0.099976	164.254303				
912		3039	0.099976	203.35907				
946		3156	0.099976	227.079178				
1010		3379	0.099976	276.584442				
1026		3435	0.099945	289.987915				
1042		3489	0.099976	303.4953				
1220		4109	0.099976	485.033234				
2050		7013	0.099976	-2090.05249				
